cluster,gene,cells_in_cluster,mean_in_cluster,mean_outside_cluster,t_statistic,p_value,fdr,mean_log2_difference
7,HLA-DRA,207,6.7835326,2.905857,18.919529,2.2250738585072014e-308,1.2443931579058792e-306,3.8776755
7,CORO1A,207,6.9416885,3.7843294,23.345411,2.2250738585072014e-308,1.2443931579058792e-306,3.1573591
7,CD74,207,8.66188,5.5186763,24.581469,2.2250738585072014e-308,1.2443931579058792e-306,3.1432033
7,ARHGDIB,207,7.367549,4.5013576,30.264086,2.2250738585072014e-308,1.2443931579058792e-306,2.8661914
7,HLA-DPA1,207,5.8954954,3.0515776,17.50951,2.2250738585072014e-308,1.2443931579058792e-306,2.8439178
7,RAC2,207,6.2620974,3.440774,29.325508,2.2250738585072014e-308,1.2443931579058792e-306,2.8213234
7,LCP1,207,5.8248763,3.1096861,25.557447,2.2250738585072014e-308,1.2443931579058792e-306,2.7151902
7,UCP2,207,5.493836,2.7926836,20.308945,2.2250738585072014e-308,1.2443931579058792e-306,2.7011523
7,HLA-DRB1,207,5.3899364,2.7119207,17.088829,2.2250738585072014e-308,1.2443931579058792e-306,2.6780157
7,TUBB,207,5.999779,3.3605497,16.543537,2.2250738585072014e-308,1.2443931579058792e-306,2.6392295
8,TYROBP,164,8.357085,0.30991802,69.05039,2.2250738585072014e-308,3.775125310500982e-307,8.047167
8,FCER1G,164,8.072799,0.30931175,62.373642,2.2250738585072014e-308,3.775125310500982e-307,7.763487
8,IFI30,164,8.540541,0.91904587,53.385437,2.2250738585072014e-308,3.775125310500982e-307,7.621495
8,HLA-DRA,164,10.140598,2.8202024,50.362385,2.2250738585072014e-308,3.775125310500982e-307,7.320396
8,CST3,164,7.81834,2.063286,39.94325,2.2250738585072014e-308,3.775125310500982e-307,5.7550535
8,HLA-DRB1,164,8.349446,2.6293018,34.62098,2.2250738585072014e-308,3.775125310500982e-307,5.7201443
8,HLA-DPA1,164,8.40313,2.9870903,26.277773,2.2250738585072014e-308,3.775125310500982e-307,5.4160395
8,CD74,164,10.626744,5.4769278,34.152554,2.2250738585072014e-308,3.775125310500982e-307,5.1498165
8,HLA-DRB5,164,6.9483137,1.8498785,27.38148,2.2250738585072014e-308,3.775125310500982e-307,5.0984354
8,HLA-DQB1,164,6.412923,1.5094066,29.394821,2.2250738585072014e-308,3.775125310500982e-307,4.9035163
9,CXCR6,103,0.03633495,0.8032832,-18.77408,2.2250738585072014e-308,1.5272097847026698e-306,-0.7669483
9,AMICA1,103,0.06645515,1.0135134,-18.155422,2.2250738585072014e-308,1.5272097847026698e-306,-0.9470583
9,P2RY10,103,0.023305826,0.97137773,-24.659668,2.2250738585072014e-308,1.5272097847026698e-306,-0.9480719
9,DOK2,103,0.06419971,1.074599,-21.375633,2.2250738585072014e-308,1.5272097847026698e-306,-1.0103993
9,SAMSN1,103,0.06870602,1.1270019,-17.573032,2.2250738585072014e-308,1.5272097847026698e-306,-1.0582958
9,PSTPIP1,103,0.012465049,1.0849714,-31.770023,2.2250738585072014e-308,1.5272097847026698e-306,-1.0725064
9,IRF8,103,0.09813893,1.2020521,-18.770662,2.2250738585072014e-308,1.5272097847026698e-306,-1.1039132
9,MX1,103,0.073148645,1.191332,-20.046211,2.2250738585072014e-308,1.5272097847026698e-306,-1.1181834
9,TRAT1,103,0.0,1.1263573,-34.633068,2.2250738585072014e-308,1.5272097847026698e-306,-1.1263573
9,ARHGAP25,103,0.12523428,1.2752846,-19.633633,2.2250738585072014e-308,1.5272097847026698e-306,-1.1500504
10,COL1A2,71,7.796691,0.29868034,32.480278,2.2250738585072014e-308,3.612754329404166e-307,7.4980106
10,COL1A1,71,7.5003576,0.05781018,30.60066,2.2250738585072014e-308,3.612754329404166e-307,7.4425473
10,SPARC,71,7.5719123,1.6431994,34.537632,2.2250738585072014e-308,3.612754329404166e-307,5.928713
10,VIM,71,9.044527,5.7244687,29.231249,2.2250738585072014e-308,3.612754329404166e-307,3.3200583
10,GNLY,71,0.0,0.45238528,-16.104448,2.2250738585072014e-308,3.612754329404166e-307,-0.45238528
10,TYROBP,71,0.0,0.60325843,-20.00376,2.2250738585072014e-308,3.612754329404166e-307,-0.60325843
10,GZMH,71,0.0,0.7741441,-24.133295,2.2250738585072014e-308,3.612754329404166e-307,-0.7741441
10,CXCR6,71,0.017222535,0.79821426,-21.776712,2.2250738585072014e-308,3.612754329404166e-307,-0.78099173
10,APOC2,71,0.022295773,0.8263788,-21.055447,2.2250738585072014e-308,3.612754329404166e-307,-0.80408305
10,IFNG,71,0.0,0.80456895,-26.292133,2.2250738585072014e-308,3.612754329404166e-307,-0.80456895
11,ICOS,44,0.0,0.81726557,-28.044315,2.2250738585072014e-308,1.866589736858819e-306,-0.81726557
11,APOC2,44,0.0,0.8218734,-26.65282,2.2250738585072014e-308,1.866589736858819e-306,-0.8218734
11,S100A16,44,0.0,0.9283121,-32.049107,2.2250738585072014e-308,1.866589736858819e-306,-0.9283121
11,CCL3,44,0.0,0.9737578,-27.383877,2.2250738585072014e-308,1.866589736858819e-306,-0.9737578
11,TM4SF1,44,0.019236136,0.99881023,-26.325993,2.2250738585072014e-308,1.866589736858819e-306,-0.9795741
11,DOK2,44,0.016300227,1.0621004,-29.198135,2.2250738585072014e-308,1.866589736858819e-306,-1.0458002
