gene,mean,variance,detected_fraction
GNPTG,1.6226675510406494,4.812739849090576,0.39289558665231433
CLEC2D,2.275510787963867,4.812654972076416,0.7360602798708289
PPP1CC,1.6144015789031982,4.807969093322754,0.41420882669537135
NDUFA7,1.5624074935913086,4.807737350463867,0.3698600645855759
LINC00493,1.5894302129745483,4.807253837585449,0.3761033369214209
MORF4L1,2.9496140480041504,4.8055548667907715,0.7466092572658772
EMB,1.7063828706741333,4.8043060302734375,0.4592034445640474
ATP6V0D1,1.5981115102767944,4.802367210388184,0.393756727664155
SNRPC,1.7478593587875366,4.80210018157959,0.4331539289558665
LOC100190986,3.7793848514556885,4.797827243804932,0.9089343379978472
SNRPN,1.9230035543441772,4.797762870788574,0.4945102260495156
DARS,1.8168326616287231,4.794846534729004,0.4876210979547901
SEC61A1,2.1000516414642334,4.794551849365234,0.5590958019375672
CD46,2.0385384559631348,4.789644241333008,0.5416576964477934
NAP1L4,2.044461965560913,4.788346767425537,0.5817007534983853
C1orf85,1.4032257795333862,4.7867112159729,0.3280947255113025
PSMC1,1.644005298614502,4.785617351531982,0.4241119483315393
YIF1A,1.4614039659500122,4.782983779907227,0.33842841765339077
CIRBP,3.5281217098236084,4.779964447021484,0.8015069967707212
CBR1,1.3942409753799438,4.7764363288879395,0.3177610333692142
EMC3,1.5571293830871582,4.776175022125244,0.3821313240043057
CCNL2,2.0018341541290283,4.774336814880371,0.5345532831001076
KDELR2,1.806458592414856,4.774019718170166,0.4697524219590958
GPS2,1.4575791358947754,4.773791790008545,0.3627556512378902
UBL7,1.3876904249191284,4.763917922973633,0.32443487621097955
EEF1D,5.367562770843506,4.760392189025879,0.9039827771797632
ARHGEF1,2.251190662384033,4.758892059326172,0.6361679224973089
CARD16,1.3516420125961304,4.758442401885986,0.3091496232508073
MAF1,1.542313814163208,4.7570481300354,0.3823466092572659
SCAMP2,1.634210228919983,4.753916263580322,0.41442411194833156
RNF181,1.7049646377563477,4.753476619720459,0.4129171151776103
CAPZB,2.8018991947174072,4.744701862335205,0.710010764262648
SLC9A3R1,1.4083466529846191,4.74381160736084,0.36598493003229277
SNHG16,2.5015056133270264,4.7414350509643555,0.7976318622174381
TMEM50A,2.017150402069092,4.741117000579834,0.5242195909580194
WDR61,1.4250524044036865,4.7406744956970215,0.33670613562970936
DECR1,1.493863582611084,4.738574981689453,0.3657696447793326
BECN1,1.71095871925354,4.7318830490112305,0.44843918191603876
ACTR2,2.406109571456909,4.731310844421387,0.6654467168998923
MRFAP1L1,1.4782661199569702,4.730865001678467,0.37351991388589884
CBLB,1.893783450126648,4.730165958404541,0.5567276641550054
HSP90AA1,5.020532608032227,4.729694366455078,0.9181916038751345
SLIRP,1.5513758659362793,4.725052833557129,0.3651237890204521
TRAT1,1.1013820171356201,4.7240800857543945,0.23853606027987082
PDIA4,1.7149813175201416,4.7148518562316895,0.4544671689989236
SOD2,1.286486029624939,4.712944030761719,0.3201291711517761
SERPINB9,2.2277393341064453,4.712403774261475,0.7709364908503767
CD96,1.7658131122589111,4.711492538452148,0.6419806243272336
MIEN1,1.3901959657669067,4.710438251495361,0.32508073196986004
GANAB,2.159123182296753,4.709601402282715,0.5905274488697524
